Geography;Sex;Age group (5,6);2010;2011;2012;2013
Prince Edward Island;Males;52 years;1126;1088;1140;1142
Prince Edward Island;Males;53 years;1008;1127;1096;1136
Prince Edward Island;Males;54 years;1122;1033;1130;1084
Prince Edward Island;Males;55 years;1070;1119;1037;1123
Prince Edward Island;Males;56 years;1017;1086;1118;1030
Prince Edward Island;Males;57 years;975;1034;1087;1112
Prince Edward Island;Males;58 years;1020;1002;1032;1075
Prince Edward Island;Males;59 years;973;1011;995;1027
Prince Edward Island;Males;60 years;992;980;1010;984
Prince Edward Island;Males;61 years;996;981;971;999
Prince Edward Island;Males;62 years;994;1006;982;964
Prince Edward Island;Males;63 years;1081;998;1001;977
Prince Edward Island;Males;64 years;837;1047;989;990
Prince Edward Island;Males;65 years;742;850;1041;983
Prince Edward Island;Males;66 years;725;752;853;1045
Prince Edward Island;Males;67 years;644;721;754;854
Prince Edward Island;Males;68 years;597;648;719;752
Prince Edward Island;Males;69 years;591;584;637;716
Prince Edward Island;Males;70 years;560;577;578;632
Prince Edward Island;Males;71 years;520;548;570;573
Prince Edward Island;Males;72 years;517;506;539;561
Prince Edward Island;Males;73 years;475;504;490;525
Prince Edward Island;Males;74 years;453;458;488;476
Prince Edward Island;Males;75 years;393;443;445;476
Prince Edward Island;Males;76 years;417;385;432;435
Prince Edward Island;Males;77 years;391;396;373;419
Prince Edward Island;Males;78 years;345;363;376;356
Prince Edward Island;Males;79 years;309;329;347;361
Prince Edward Island;Males;80 years;309;291;307;324
Prince Edward Island;Males;81 years;252;288;267;280
Prince Edward Island;Males;82 years;236;239;261;241
Prince Edward Island;Males;83 years;195;218;208;226
Prince Edward Island;Males;84 years;193;175;187;179
Prince Edward Island;Males;85 years;161;179;154;167
Prince Edward Island;Males;86 years;120;145;153;130
Prince Edward Island;Males;87 years;130;105;130;138
Prince Edward Island;Males;88 years;113;108;93;114
Prince Edward Island;Males;89 years;75;98;95;82
Prince Edward Island;Males;90 years;62;70;87;84
Prince Edward Island;Males;91 years;41;50;56;70
Prince Edward Island;Males;92 years;51;32;45;51
Prince Edward Island;Males;93 years;34;32;25;35
Prince Edward Island;Males;94 years;29;28;25;19
Prince Edward Island;Males;95 years;20;19;24;21
Prince Edward Island;Males;96 years;22;17;12;15
Prince Edward Island;Males;97 years;3;9;10;7
Prince Edward Island;Males;98 years;6;1;6;6
Prince Edward Island;Males;99 years;7;4;1;4
Prince Edward Island;Males;100 years and over;1;5;6;5
Prince Edward Island;Females;0 years;688;676;708;706
Prince Edward Island;Females;1 year;734;695;682;717
Prince Edward Island;Females;2 years;735;745;708;692
Prince Edward Island;Females;3 years;749;748;761;728
Prince Edward Island;Females;4 years;656;756;770;780
Prince Edward Island;Females;5 years;712;693;778;789
Prince Edward Island;Females;6 years;730;745;714;798
Prince Edward Island;Females;7 years;745;754;760;728
Prince Edward Island;Females;8 years;725;759;770;771
Prince Edward Island;Females;9 years;711;747;780;782
Prince Edward Island;Females;10 years;805;729;747;789
Prince Edward Island;Females;11 years;810;818;731;750
Prince Edward Island;Females;12 years;816;829;819;728
Prince Edward Island;Females;13 years;840;835;819;812
Prince Edward Island;Females;14 years;901;856;833;810
Prince Edward Island;Females;15 years;894;934;864;828
Prince Edward Island;Females;16 years;897;922;934;867
Prince Edward Island;Females;17 years;943;920;933;932
Prince Edward Island;Females;18 years;982;959;925;939
Prince Edward Island;Females;19 years;1045;1003;974;930
Prince Edward Island;Females;20 years;1014;1043;1008;973
Prince Edward Island;Females;21 years;989;1002;1047;1011
Prince Edward Island;Females;22 years;893;960;1014;1038
Prince Edward Island;Females;23 years;886;878;950;981
Prince Edward Island;Females;24 years;844;868;879;929
Prince Edward Island;Females;25 years;771;820;866;854
Prince Edward Island;Females;26 years;801;785;816;842
Prince Edward Island;Females;27 years;794;795;763;798
Prince Edward Island;Females;28 years;837;817;800;760
Prince Edward Island;Females;29 years;810;842;815;798
Prince Edward Island;Females;30 years;786;833;856;813
Prince Edward Island;Females;31 years;845;804;846;873
Prince Edward Island;Females;32 years;829;865;829;873
Prince Edward Island;Females;33 years;859;851;898;859
Prince Edward Island;Females;34 years;854;889;883;920
Prince Edward Island;Females;35 years;847;861;888;897
Prince Edward Island;Females;36 years;914;873;881;897
Prince Edward Island;Females;37 years;840;939;871;870
Prince Edward Island;Females;38 years;935;894;929;871
Prince Edward Island;Females;39 years;965;964;878;921
Prince Edward Island;Females;40 years;940;997;972;872
Prince Edward Island;Females;41 years;946;997;1006;974
Prince Edward Island;Females;42 years;972;1007;1012;1012
Prince Edward Island;Females;43 years;960;1004;1026;1009
Prince Edward Island;Females;44 years;1000;1002;1015;1024
Prince Edward Island;Females;45 years;1116;1038;1017;1020
Prince Edward Island;Females;46 years;1234;1138;1045;1012
Prince Edward Island;Females;47 years;1216;1247;1155;1046
Prince Edward Island;Females;48 years;1108;1238;1278;1157
Prince Edward Island;Females;49 years;1174;1142;1260;1269
Prince Edward Island;Females;50 years;1211;1174;1145;1258
Prince Edward Island;Females;51 years;1128;1223;1182;1152
Prince Edward Island;Females;52 years;1104;1144;1229;1177
Prince Edward Island;Females;53 years;1161;1115;1148;1230
Prince Edward Island;Females;54 years;1148;1164;1119;1144
Prince Edward Island;Females;55 years;1094;1147;1169;1122
Prince Edward Island;Females;56 years;1110;1110;1149;1173
Prince Edward Island;Females;57 years;1064;1123;1122;1157
Prince Edward Island;Females;58 years;967;1053;1133;1131
Prince Edward Island;Females;59 years;1003;993;1059;1135
Prince Edward Island;Females;60 years;1068;1012;994;1057
Prince Edward Island;Females;61 years;1068;1071;1012;995
Prince Edward Island;Females;62 years;1052;1073;1072;1010
Prince Edward Island;Females;63 years;1032;1051;1068;1066
Prince Edward Island;Females;64 years;818;1018;1048;1064
Prince Edward Island;Females;65 years;762;837;1013;1043
Prince Edward Island;Females;66 years;799;759;836;1011
Prince Edward Island;Females;67 years;688;790;757;835
Prince Edward Island;Females;68 years;651;687;790;760
Prince Edward Island;Females;69 years;627;649;682;786
Prince Edward Island;Females;70 years;602;621;649;681
Prince Edward Island;Females;71 years;547;596;617;643
