Geography;Sex;Age group (5,6);2010;2011;2012;2013
Alberta;Males;2 years;25337;26064;26465;26663
Alberta;Males;3 years;24447;25536;26415;26878
Alberta;Males;4 years;23209;24656;25946;26896
Alberta;Males;5 years;22482;23561;25104;26441
Alberta;Males;6 years;22771;22857;24030;25583
Alberta;Males;7 years;22047;22908;23360;24516
Alberta;Males;8 years;21659;22219;23324;23861
Alberta;Males;9 years;22051;21929;22632;23751
Alberta;Males;10 years;22255;22357;22323;23043
Alberta;Males;11 years;22768;22535;22704;22698
Alberta;Males;12 years;22614;23022;22889;23068
Alberta;Males;13 years;23471;23053;23341;23253
Alberta;Males;14 years;24151;23875;23416;23767
Alberta;Males;15 years;24579;24543;24252;23827
Alberta;Males;16 years;24847;25041;24982;24749
Alberta;Males;17 years;24962;25312;25487;25469
Alberta;Males;18 years;25662;25614;25934;26165
Alberta;Males;19 years;26632;26336;26382;26878
Alberta;Males;20 years;27918;27222;27217;27432
Alberta;Males;21 years;27802;28478;28195;28451
Alberta;Males;22 years;27772;28466;29637;29731
Alberta;Males;23 years;29696;28603;29907;31432
Alberta;Males;24 years;31649;30055;29946;31763
Alberta;Males;25 years;32602;31961;31401;31804
Alberta;Males;26 years;33138;32654;33317;33156
Alberta;Males;27 years;33222;33003;33878;35057
Alberta;Males;28 years;32567;33277;34311;35585
Alberta;Males;29 years;32176;32691;34470;35963
Alberta;Males;30 years;31182;32416;33914;35986
Alberta;Males;31 years;30117;31277;33597;35453
Alberta;Males;32 years;29629;30429;32373;35068
Alberta;Males;33 years;29290;29841;31424;33694
Alberta;Males;34 years;29310;29513;30773;32631
Alberta;Males;35 years;28785;29233;30311;32020
Alberta;Males;36 years;27844;28695;30001;31324
Alberta;Males;37 years;27684;27916;29369;30971
Alberta;Males;38 years;28007;27724;28548;30245
Alberta;Males;39 years;29244;27947;28327;29412
Alberta;Males;40 years;28059;28992;28503;29100
Alberta;Males;41 years;27321;27913;29555;29248
Alberta;Males;42 years;26894;27320;28372;30258
Alberta;Males;43 years;26793;26794;27753;29024
Alberta;Males;44 years;27891;26738;27183;28330
Alberta;Males;45 years;29721;27990;27075;27682
Alberta;Males;46 years;30960;29662;28274;27546
Alberta;Males;47 years;30893;30849;29879;28679
Alberta;Males;48 years;30358;30793;31059;30274
Alberta;Males;49 years;30868;30418;31023;31324
Alberta;Males;50 years;30509;30842;30490;31221
Alberta;Males;51 years;29727;30529;30958;30682
Alberta;Males;52 years;29306;29772;30606;31088
Alberta;Males;53 years;28261;29348;29750;30672
Alberta;Males;54 years;27717;28132;29315;29769
Alberta;Males;55 years;26803;27630;28091;29327
Alberta;Males;56 years;25037;26667;27528;28102
Alberta;Males;57 years;23185;24884;26643;27524
Alberta;Males;58 years;21260;23038;24794;26628
Alberta;Males;59 years;20276;21147;22914;24777
Alberta;Males;60 years;19464;20117;21014;22863
Alberta;Males;61 years;18278;19212;19975;20945
Alberta;Males;62 years;18326;18180;19065;19881
Alberta;Males;63 years;17865;18076;18041;18960
Alberta;Males;64 years;14410;17347;17915;17936
Alberta;Males;65 years;13265;14440;17183;17815
Alberta;Males;66 years;12706;13060;14309;17043
Alberta;Males;67 years;12058;12446;12928;14211
Alberta;Males;68 years;10911;11775;12296;12829
Alberta;Males;69 years;10430;10699;11618;12186
Alberta;Males;70 years;9750;10150;10537;11452
Alberta;Males;71 years;9047;9534;9952;10364
Alberta;Males;72 years;8607;8891;9352;9780
Alberta;Males;73 years;8129;8399;8698;9165
Alberta;Males;74 years;8001;7951;8182;8509
Alberta;Males;75 years;7511;7727;7709;7956
Alberta;Males;76 years;7274;7303;7487;7490
Alberta;Males;77 years;6864;7004;7040;7250
Alberta;Males;78 years;6537;6582;6706;6750
Alberta;Males;79 years;6355;6247;6295;6425
Alberta;Males;80 years;5852;5984;5921;5967
Alberta;Males;81 years;5219;5523;5667;5616
Alberta;Males;82 years;4736;4869;5196;5333
Alberta;Males;83 years;4206;4385;4546;4850
Alberta;Males;84 years;3652;3868;4067;4218
Alberta;Males;85 years;3045;3307;3555;3738
Alberta;Males;86 years;2713;2761;3029;3255
Alberta;Males;87 years;2254;2397;2485;2727
Alberta;Males;88 years;1941;1952;2098;2170
Alberta;Males;89 years;1697;1637;1710;1835
Alberta;Males;90 years;1373;1427;1427;1490
Alberta;Males;91 years;880;1121;1214;1214
Alberta;Males;92 years;650;731;942;1021
Alberta;Males;93 years;482;492;578;747
Alberta;Males;94 years;357;366;380;449
Alberta;Males;95 years;207;264;256;268
Alberta;Males;96 years;175;145;169;164
Alberta;Males;97 years;108;118;88;102
Alberta;Males;98 years;81;67;74;55
Alberta;Males;99 years;41;46;43;48
Alberta;Males;100 years and over;51;42;52;56
Alberta;Females;0 years;24687;24709;25416;26403
Alberta;Females;1 year;24708;24631;24989;25735
Alberta;Females;2 years;24356;24717;24935;25361
Alberta;Females;3 years;23270;24423;25031;25336
Alberta;Females;4 years;22020;23376;24807;25447
Alberta;Females;5 years;21543;22461;23768;25292
Alberta;Females;6 years;21345;21897;22905;24232
Alberta;Females;7 years;20971;21609;22308;23385
Alberta;Females;8 years;20370;21273;21982;22709
Alberta;Females;9 years;20709;20769;21636;22417
Alberta;Females;10 years;21257;21014;21117;22040
Alberta;Females;11 years;21375;21493;21375;21479
Alberta;Females;12 years;21635;21646;21802;21738
Alberta;Females;13 years;21541;21918;21954;22133
Alberta;Females;14 years;23075;22033;22270;22323
Alberta;Females;15 years;23262;23313;22423;22636
Alberta;Females;16 years;23413;23604;23675;22841
Alberta;Females;17 years;24089;23853;23982;24113
Alberta;Females;18 years;24810;24488;24334;24505
Alberta;Females;19 years;25203;25405;25120;25056
Alberta;Females;20 years;26542;25932;26159;26008
Alberta;Females;21 years;26728;27218;26817;27126
Alberta;Females;22 years;26782;27564;28321;28044
Alberta;Females;23 years;28321;27897;28807;29843
Alberta;Females;24 years;29593;29099;29157;30289
Alberta;Females;25 years;30374;30188;30341;30725
Alberta;Females;26 years;31006;30912;31449;31853
Alberta;Females;27 years;31102;31545;32128;32990
Alberta;Females;28 years;30831;31557;32756;33644
Alberta;Females;29 years;30204;31350;32715;34300
Alberta;Females;30 years;29387;30812;32469;34108
Alberta;Females;31 years;28502;29984;31927;33692
Alberta;Females;32 years;27685;29201;31018;33075
Alberta;Females;33 years;27324;28155;30070;32160
Alberta;Females;34 years;27428;27758;28889;31082
Alberta;Females;35 years;26425;27615;28484;29793
Alberta;Females;36 years;25994;26648;28322;29240
Alberta;Females;37 years;26025;26327;27274;29115
Alberta;Females;38 years;25858;26121;26844;27969
Alberta;Females;39 years;26648;26077;26654;27478
Alberta;Females;40 years;26081;26737;26550;27218
Alberta;Females;41 years;25671;26155;27144;27072
Alberta;Females;42 years;25203;25820;26540;27598
Alberta;Females;43 years;25078;25352;26221;26989
Alberta;Females;44 years;25761;25175;25651;26615
Alberta;Females;45 years;27447;25886;25402;25973
Alberta;Females;46 years;28672;27336;26092;25682
Alberta;Females;47 years;29218;28540;27482;26301
Alberta;Females;48 years;28957;29058;28657;27638
Alberta;Females;49 years;29144;28907;29156;28786
Alberta;Females;50 years;28415;29090;28961;29255
Alberta;Females;51 years;27700;28362;29126;29061
Alberta;Females;52 years;27241;27658;28387;29211
Alberta;Females;53 years;26485;27194;27680;28451
Alberta;Females;54 years;26060;26445;27181;27714
Alberta;Females;55 years;24620;25945;26439;27206
Alberta;Females;56 years;23592;24530;25914;26475
Alberta;Females;57 years;21920;23424;24520;25961
Alberta;Females;58 years;20323;21803;23397;24556
Alberta;Females;59 years;19631;20272;21783;23450
Alberta;Females;60 years;18805;19526;20252;21851
Alberta;Females;61 years;18042;18678;19508;20286
Alberta;Females;62 years;18117;17979;18640;19565
Alberta;Females;63 years;17827;17972;17954;18705
Alberta;Females;64 years;14646;17426;17915;17990
Alberta;Females;65 years;13507;14719;17381;17915
Alberta;Females;66 years;12977;13393;14636;17334
Alberta;Females;67 years;12515;12861;13303;14601
Alberta;Females;68 years;11508;12373;12758;13258
Alberta;Females;69 years;11275;11412;12297;12727
Alberta;Females;70 years;10438;11064;11323;12244
Alberta;Females;71 years;9936;10330;10960;11257
Alberta;Females;72 years;9681;9827;10238;10902
Alberta;Females;73 years;9170;9563;9733;10167
Alberta;Females;74 years;9051;9039;9436;9650
Alberta;Females;75 years;8616;8865;8904;9312
Alberta;Females;76 years;8171;8460;8729;8795
Alberta;Females;77 years;8169;8046;8297;8567
Alberta;Females;78 years;7799;7980;7866;8120
Alberta;Females;79 years;7807;7595;7761;7654
Alberta;Females;80 years;7474;7570;7381;7562
Alberta;Females;81 years;6827;7156;7305;7129
Alberta;Females;82 years;6400;6541;6874;7024
Alberta;Females;83 years;5935;6109;6261;6580
Alberta;Females;84 years;5635;5636;5809;5957
Alberta;Females;85 years;5082;5276;5304;5469
Alberta;Females;86 years;4655;4784;4943;4975
Alberta;Females;87 years;4111;4269;4418;4569
Alberta;Females;88 years;3860;3829;3929;4067
Alberta;Females;89 years;3349;3435;3462;3557
Alberta;Females;90 years;2881;2990;3080;3107
Alberta;Females;91 years;2149;2493;2625;2703
Alberta;Females;92 years;1765;1857;2176;2288
Alberta;Females;93 years;1419;1472;1572;1842
Alberta;Females;94 years;1170;1166;1222;1306
Alberta;Females;95 years;843;934;932;977
Alberta;Females;96 years;613;714;705;703
Alberta;Females;97 years;420;490;521;514
Alberta;Females;98 years;352;311;355;378
Alberta;Females;99 years;242;235;227;260
Alberta;Females;100 years and over;395;412;471;505
British Columbia;Males;0 years;23030;22321;22410;22604
British Columbia;Males;1 year;23310;23197;22356;22452
British Columbia;Males;2 years;23192;23473;23276;22417
British Columbia;Males;3 years;22777;23304;23563;23374
British Columbia;Males;4 years;22323;23076;23440;23671
British Columbia;Males;5 years;22116;22550;23251;23625
British Columbia;Males;6 years;22508;22402;22760;23468
British Columbia;Males;7 years;22622;22722;22624;22945
British Columbia;Males;8 years;22619;22820;22916;22783
British Columbia;Males;9 years;23014;22857;23022;23097
British Columbia;Males;10 years;23759;23290;23085;23210
British Columbia;Males;11 years;24505;24073;23528;23222
British Columbia;Males;12 years;24935;24696;24172;23617
British Columbia;Males;13 years;26396;25283;24806;24295
British Columbia;Males;14 years;27636;26757;25562;25088
British Columbia;Males;15 years;28724;28302;27169;26080
British Columbia;Males;16 years;29071;29499;29017;27964
British Columbia;Males;17 years;29352;29983;30236;29602
British Columbia;Males;18 years;29395;30227;30923;31159
British Columbia;Males;19 years;30227;30757;32056;32873
British Columbia;Males;20 years;30823;30774;32005;33112
British Columbia;Males;21 years;30878;30783;31344;32407
British Columbia;Males;22 years;30194;30795;31438;31799
British Columbia;Males;23 years;30584;30221;31424;31950
British Columbia;Males;24 years;31720;30368;30648;31545
British Columbia;Males;25 years;32574;31424;30279;30521
British Columbia;Males;26 years;31840;31909;31217;30081
British Columbia;Males;27 years;31602;31512;31680;31075
British Columbia;Males;28 years;31248;31482;31403;31512
British Columbia;Males;29 years;31335;31140;31348;31306
British Columbia;Males;30 years;30844;31533;31167;31325
British Columbia;Males;31 years;29610;31092;31665;31238
British Columbia;Males;32 years;28706;29719;31135;31633
British Columbia;Males;33 years;28852;28868;29714;31039
British Columbia;Males;34 years;28605;28857;28923;29860
British Columbia;Males;35 years;28900;28856;29025;29086
British Columbia;Males;36 years;28459;29088;29100;29096
British Columbia;Males;37 years;29004;28533;29286;29225
British Columbia;Males;38 years;29659;29216;28707;29420
British Columbia;Males;39 years;32200;29779;29413;28853
British Columbia;Males;40 years;32420;32289;29990;29540
British Columbia;Males;41 years;32022;32391;32453;30147
British Columbia;Males;42 years;31229;32075;32501;32540
British Columbia;Males;43 years;31093;31413;32230;32590
British Columbia;Males;44 years;32138;31216;31550;32255
British Columbia;Males;45 years;34309;32123;31261;31563
British Columbia;Males;46 years;35897;34139;32148;31224
British Columbia;Males;47 years;37149;35562;34103;32032
British Columbia;Males;48 years;35376;36718;35501;34034
British Columbia;Males;49 years;36128;35480;36681;35370
British Columbia;Males;50 years;35479;36122;35363;36544
British Columbia;Males;51 years;34487;35375;35997;35195
British Columbia;Males;52 years;35045;34584;35321;35871
British Columbia;Males;53 years;33924;34879;34496;35181
British Columbia;Males;54 years;33782;33932;34781;34381
British Columbia;Males;55 years;32995;33750;33848;34674
British Columbia;Males;56 years;31993;32901;33661;33756
British Columbia;Males;57 years;30969;31872;32816;33539
British Columbia;Males;58 years;30050;30854;31798;32736
British Columbia;Males;59 years;29636;30045;30731;31713
British Columbia;Males;60 years;29459;29613;29945;30662
British Columbia;Males;61 years;28202;29247;29482;29843
British Columbia;Males;62 years;28543;28274;29092;29366
British Columbia;Males;63 years;28603;28445;28134;29004
British Columbia;Males;64 years;23064;28007;28283;28031
British Columbia;Males;65 years;21677;23275;27775;28104
British Columbia;Males;66 years;21652;21663;23111;27632
British Columbia;Males;67 years;20425;21364;21474;22961
British Columbia;Males;68 years;18659;20160;21156;21356
British Columbia;Males;69 years;17703;18469;19923;21005
British Columbia;Males;70 years;16540;17446;18258;19735
British Columbia;Males;71 years;15713;16310;17191;18058
British Columbia;Males;72 years;14856;15430;16033;16972
British Columbia;Males;73 years;14076;14558;15120;15761
British Columbia;Males;74 years;13902;13803;14264;14883
British Columbia;Males;75 years;12997;13575;13493;14001
British Columbia;Males;76 years;12300;12629;13211;13179
British Columbia;Males;77 years;11942;11882;12214;12807
British Columbia;Males;78 years;11543;11492;11487;11842
British Columbia;Males;79 years;11014;11026;11015;11043
British Columbia;Males;80 years;9929;10477;10563;10568
British Columbia;Males;81 years;9038;9441;9939;10048
British Columbia;Males;82 years;8227;8507;8952;9439
British Columbia;Males;83 years;7309;7651;7989;8428
British Columbia;Males;84 years;6415;6776;7116;7456
British Columbia;Males;85 years;5723;5820;6227;6561
British Columbia;Males;86 years;5165;5156;5295;5680
British Columbia;Males;87 years;4283;4564;4639;4779
British Columbia;Males;88 years;3844;3764;4056;4136
British Columbia;Males;89 years;3158;3322;3312;3584
British Columbia;Males;90 years;2548;2668;2865;2865
British Columbia;Males;91 years;1625;2082;2275;2451
British Columbia;Males;92 years;1284;1353;1761;1931
British Columbia;Males;93 years;984;1001;1091;1425
British Columbia;Males;94 years;691;763;780;854
British Columbia;Males;95 years;446;518;544;560
British Columbia;Males;96 years;300;335;334;354
British Columbia;Males;97 years;207;229;205;207
British Columbia;Males;98 years;160;146;144;130
British Columbia;Males;99 years;54;108;95;95
British Columbia;Males;100 years and over;169;149;167;170
British Columbia;Females;0 years;21390;21314;21165;21365
British Columbia;Females;1 year;21582;21245;21382;21246
British Columbia;Females;2 years;21767;21633;21310;21479
British Columbia;Females;3 years;21237;21824;21730;21364
British Columbia;Females;4 years;21003;21435;21910;21832
British Columbia;Females;5 years;20915;21288;21578;22068
British Columbia;Females;6 years;21156;21246;21472;21755
British Columbia;Females;7 years;21278;21388;21395;21590
British Columbia;Females;8 years;21187;21536;21517;21520
British Columbia;Females;9 years;21744;21469;21664;21646
British Columbia;Females;10 years;22353;22034;21599;21826
British Columbia;Females;11 years;23047;22555;22182;21744
British Columbia;Females;12 years;23548;23164;22680;22275
British Columbia;Females;13 years;24170;23852;23303;22824
British Columbia;Females;14 years;25545;24493;24103;23559
British Columbia;Females;15 years;25745;25956;24920;24605
British Columbia;Females;16 years;26246;26413;26848;25737
British Columbia;Females;17 years;26711;26887;27236;27446
British Columbia;Females;18 years;26797;27067;27547;27920
British Columbia;Females;19 years;27928;27867;28769;29064
British Columbia;Females;20 years;29820;28630;29299;29789
British Columbia;Females;21 years;30006;30161;29401;29812
British Columbia;Females;22 years;29798;30074;30788;29710
British Columbia;Females;23 years;30138;30168;30544;31108
British Columbia;Females;24 years;31064;30491;30486;30689
British Columbia;Females;25 years;31845;31208;30786;30503
British Columbia;Females;26 years;32063;32135;31341;30780
British Columbia;Females;27 years;31906;32020;32117;31291
British Columbia;Females;28 years;31840;32001;31990;31986
British Columbia;Females;29 years;31103;31875;32047;31993
British Columbia;Females;30 years;30436;31433;32066;32130
British Columbia;Females;31 years;29502;30408;31628;32319
British Columbia;Females;32 years;28822;29569;30702;31864
British Columbia;Females;33 years;28815;28920;29857;30917
British Columbia;Females;34 years;29163;28825;29218;30146
British Columbia;Females;35 years;29393;29583;29164;29496
British Columbia;Females;36 years;29147;29561;29850;29367
British Columbia;Females;37 years;29771;29401;29804;29950
British Columbia;Females;38 years;30002;29936;29571;29931
British Columbia;Females;39 years;33067;30442;30088;29725
British Columbia;Females;40 years;32851;33125;30642;30244
British Columbia;Females;41 years;33136;33060;33367;30745
British Columbia;Females;42 years;32213;33253;33245;33491
British Columbia;Females;43 years;31257;32294;33420;33378
British Columbia;Females;44 years;32998;31552;32461;33570
British Columbia;Females;45 years;34804;33055;31637;32533
British Columbia;Females;46 years;37095;34810;33148;31661
British Columbia;Females;47 years;37441;36867;34879;33157
British Columbia;Females;48 years;35945;37125;36919;34874
British Columbia;Females;49 years;36717;36079;37171;36941
British Columbia;Females;50 years;36367;36729;36108;37176
British Columbia;Females;51 years;35581;36250;36719;36093
British Columbia;Females;52 years;35427;35574;36234;36688
British Columbia;Females;53 years;34633;35250;35555;36214
British Columbia;Females;54 years;33784;34457;35243;35534
British Columbia;Females;55 years;33776;33709;34460;35242
British Columbia;Females;56 years;32209;33439;33671;34468
British Columbia;Females;57 years;30930;32038;33437;33696
British Columbia;Females;58 years;29789;30660;31988;33465
British Columbia;Females;59 years;29411;29657;30652;32033
British Columbia;Females;60 years;29375;29224;29642;30711
British Columbia;Females;61 years;28362;29083;29184;29699
British Columbia;Females;62 years;28355;28197;29067;29226
British Columbia;Females;63 years;29078;28208;28158;29175
British Columbia;Females;64 years;23073;28375;28160;28190
British Columbia;Females;65 years;21967;23420;28300;28197
British Columbia;Females;66 years;21850;21900;23365;28305
British Columbia;Females;67 years;20837;21606;21815;23355
British Columbia;Females;68 years;19180;20665;21497;21794
British Columbia;Females;69 years;19048;19078;20525;21430
British Columbia;Females;70 years;17268;18734;18933;20432
British Columbia;Females;71 years;16293;17137;18562;18816
British Columbia;Females;72 years;15972;16185;16946;18418
British Columbia;Females;73 years;15310;15699;15957;16777
British Columbia;Females;74 years;14702;15083;15480;15775
British Columbia;Females;75 years;14019;14440;14830;15263
British Columbia;Females;76 years;13172;13704;14167;14611
British Columbia;Females;77 years;13298;12923;13434;13914
British Columbia;Females;78 years;12575;12856;12614;13136
British Columbia;Females;79 years;12497;12256;12516;12314
British Columbia;Females;80 years;11901;12070;11891;12173
British Columbia;Females;81 years;11150;11446;11711;11553
British Columbia;Females;82 years;10497;10690;11012;11287
British Columbia;Females;83 years;9999;10035;10254;10574
British Columbia;Females;84 years;9428;9441;9558;9780
British Columbia;Females;85 years;8858;8831;8922;9044
British Columbia;Females;86 years;8290;8219;8291;8390
British Columbia;Females;87 years;7318;7553;7616;7693
British Columbia;Females;88 years;6781;6667;6934;7008
British Columbia;Females;89 years;5994;6073;6069;6325
British Columbia;Females;90 years;5028;5280;5439;5447
British Columbia;Females;91 years;3714;4370;4655;4804
British Columbia;Females;92 years;2948;3226;3825;4086
British Columbia;Females;93 years;2492;2453;2724;3242
British Columbia;Females;94 years;1877;2041;2052;2291
British Columbia;Females;95 years;1267;1493;1582;1596
British Columbia;Females;96 years;1012;1052;1123;1196
British Columbia;Females;97 years;704;774;764;821
British Columbia;Females;98 years;517;513;562;558
British Columbia;Females;99 years;294;341;376;414
British Columbia;Females;100 years and over;512;552;650;751
